epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,557.349,1.55159,1.2309,1.19245,0.52672,0.64161,0.58888,0.31007,1.64109,1.32126,1.28097,0.00120491,0.00120491,0.00120491
30,576.451,1.56268,1.23955,1.19482,0.57278,0.63083,0.60749,0.32418,1.62844,1.3064,1.27747,0.0011884,0.0011884,0.0011884
31,595.922,1.54823,1.21617,1.18315,0.57029,0.62036,0.60286,0.31948,1.62916,1.29153,1.28033,0.0011719,0.0011719,0.0011719
32,614.945,1.52647,1.20203,1.17972,0.51256,0.63945,0.55653,0.30504,1.61863,1.35465,1.27642,0.0011554,0.0011554,0.0011554
33,633.945,1.53931,1.21433,1.18451,0.54954,0.6076,0.58782,0.30846,1.6026,1.32881,1.27079,0.00113889,0.00113889,0.00113889
34,653.09,1.5263,1.1996,1.17383,0.57895,0.61243,0.59821,0.31483,1.63457,1.32248,1.2825,0.00112239,0.00112239,0.00112239
35,672.137,1.52332,1.1847,1.17188,0.56046,0.60384,0.5898,0.31335,1.61877,1.31186,1.28086,0.00110589,0.00110589,0.00110589
36,691.092,1.50852,1.17904,1.17356,0.56094,0.62675,0.57625,0.30675,1.65275,1.32867,1.312,0.00108938,0.00108938,0.00108938
37,710.116,1.52087,1.1786,1.17405,0.55627,0.62873,0.59291,0.31352,1.60321,1.30797,1.2781,0.00107288,0.00107288,0.00107288
38,729.156,1.49012,1.15268,1.16533,0.55813,0.6214,0.58658,0.31033,1.63464,1.33557,1.28502,0.00105638,0.00105638,0.00105638
39,748.106,1.49447,1.15686,1.16479,0.57146,0.62479,0.5929,0.31707,1.61188,1.32582,1.28077,0.00103987,0.00103987,0.00103987
40,767.072,1.48468,1.14057,1.15594,0.55237,0.63297,0.58526,0.30921,1.63188,1.31824,1.2931,0.00102337,0.00102337,0.00102337
41,786.197,1.48706,1.14218,1.15985,0.58778,0.59421,0.58966,0.30518,1.67282,1.3585,1.3183,0.00100687,0.00100687,0.00100687
42,805.12,1.48442,1.1395,1.15627,0.57677,0.60463,0.59674,0.31853,1.63146,1.30595,1.28702,0.000990365,0.000990365,0.000990365
43,824.017,1.47964,1.1326,1.15275,0.59821,0.62063,0.5974,0.31826,1.61014,1.31189,1.28397,0.000973861,0.000973861,0.000973861
44,842.921,1.46836,1.11994,1.15168,0.58213,0.60692,0.59111,0.31286,1.64091,1.30844,1.27987,0.000957358,0.000957358,0.000957358
45,861.896,1.46125,1.11125,1.14477,0.54782,0.64658,0.57629,0.31199,1.61348,1.32325,1.28166,0.000940855,0.000940855,0.000940855
46,880.771,1.46094,1.11104,1.14929,0.56909,0.61028,0.57564,0.30239,1.69403,1.33341,1.31336,0.000924352,0.000924352,0.000924352
47,899.792,1.46095,1.10855,1.14507,0.58344,0.60637,0.59651,0.31964,1.63507,1.30409,1.28899,0.000907848,0.000907848,0.000907848
48,918.885,1.44302,1.10128,1.13757,0.57502,0.61346,0.5928,0.31565,1.63151,1.28689,1.285,0.000891345,0.000891345,0.000891345
49,937.776,1.44327,1.08185,1.13635,0.56773,0.61648,0.585,0.31279,1.65876,1.32105,1.30069,0.000874842,0.000874842,0.000874842
50,956.763,1.44176,1.07754,1.13489,0.56915,0.61626,0.5761,0.30557,1.66166,1.33983,1.30629,0.000858338,0.000858338,0.000858338
51,975.754,1.43182,1.07667,1.13558,0.5711,0.64817,0.60404,0.32382,1.61412,1.29113,1.28599,0.000841835,0.000841835,0.000841835
52,994.778,1.43453,1.07039,1.12884,0.57614,0.60269,0.57402,0.30483,1.64842,1.35701,1.30055,0.000825332,0.000825332,0.000825332
53,1013.95,1.40509,1.05287,1.12139,0.56234,0.63201,0.5839,0.31148,1.63777,1.33591,1.28769,0.000808828,0.000808828,0.000808828
54,1033.07,1.43666,1.06404,1.12824,0.59707,0.60206,0.5907,0.31559,1.63237,1.29221,1.30159,0.000792325,0.000792325,0.000792325
55,1052.09,1.40981,1.04085,1.11954,0.58658,0.64107,0.60457,0.31895,1.63693,1.29536,1.30114,0.000775822,0.000775822,0.000775822
56,1071.05,1.40299,1.03893,1.11464,0.57077,0.62021,0.59376,0.31655,1.64067,1.31722,1.3021,0.000759318,0.000759318,0.000759318
57,1090.12,1.40511,1.03372,1.11686,0.58087,0.62576,0.59313,0.31338,1.64543,1.3182,1.30112,0.000742815,0.000742815,0.000742815
58,1109.25,1.38705,1.02114,1.10969,0.56051,0.62989,0.59363,0.31949,1.62563,1.2967,1.29348,0.000726312,0.000726312,0.000726312
59,1128.18,1.39821,1.02249,1.11368,0.57191,0.63759,0.59558,0.31673,1.64588,1.30314,1.30124,0.000709809,0.000709809,0.000709809
60,1147.21,1.39675,1.02341,1.1086,0.58878,0.58402,0.5816,0.30514,1.6829,1.36231,1.32388,0.000693305,0.000693305,0.000693305
61,1166.5,1.38563,1.0124,1.10932,0.59681,0.59572,0.58236,0.30658,1.67813,1.3381,1.31522,0.000676802,0.000676802,0.000676802
62,1186.16,1.39057,1.01046,1.10997,0.58365,0.58599,0.57606,0.30075,1.66987,1.39374,1.31174,0.000660299,0.000660299,0.000660299
63,1205.84,1.37856,0.99553,1.10342,0.55014,0.63145,0.58338,0.30994,1.66021,1.33767,1.30061,0.000643795,0.000643795,0.000643795
64,1225.76,1.36862,0.99789,1.10199,0.57049,0.62499,0.58557,0.31254,1.64857,1.35107,1.30946,0.000627292,0.000627292,0.000627292
65,1758.78,1.37038,0.99652,1.09977,0.59094,0.6088,0.58563,0.31469,1.65432,1.31019,1.30897,0.000610789,0.000610789,0.000610789
66,1777.17,1.36756,0.98485,1.09702,0.56428,0.63257,0.58853,0.31786,1.63799,1.29948,1.30112,0.000594286,0.000594286,0.000594286
67,1795.57,1.34777,0.97439,1.09199,0.57453,0.62066,0.59102,0.31395,1.65005,1.30659,1.30505,0.000577782,0.000577782,0.000577782
68,1814.22,1.35672,0.97535,1.09405,0.58445,0.59905,0.58438,0.31054,1.68383,1.34512,1.31801,0.000561279,0.000561279,0.000561279
69,1832.91,1.34274,0.9619,1.08899,0.55867,0.62762,0.58489,0.31116,1.66591,1.34123,1.31411,0.000544776,0.000544776,0.000544776
70,1851.45,1.32551,0.95266,1.08046,0.57994,0.61174,0.59102,0.31652,1.67208,1.33917,1.31816,0.000528272,0.000528272,0.000528272
71,1870.22,1.34634,0.96194,1.08656,0.57796,0.61049,0.58468,0.30626,1.69007,1.34739,1.3235,0.000511769,0.000511769,0.000511769
72,1889.01,1.33461,0.94818,1.08457,0.57009,0.60792,0.5744,0.30613,1.66186,1.34383,1.31339,0.000495266,0.000495266,0.000495266
73,1907.81,1.33208,0.94389,1.08533,0.56914,0.6268,0.58689,0.31392,1.65769,1.32511,1.32417,0.000478762,0.000478762,0.000478762
74,1927.18,1.32099,0.93234,1.07743,0.57693,0.62209,0.5841,0.31405,1.66378,1.3324,1.31367,0.000462259,0.000462259,0.000462259
75,1946.32,1.31478,0.93093,1.07947,0.562,0.60933,0.57805,0.30718,1.67244,1.33215,1.31833,0.000445756,0.000445756,0.000445756
76,1965.67,1.31471,0.92439,1.07533,0.58474,0.59285,0.57308,0.3069,1.67841,1.37044,1.33352,0.000429253,0.000429253,0.000429253
77,1984.75,1.30489,0.92091,1.07142,0.57263,0.62417,0.58569,0.31026,1.66433,1.354,1.31968,0.000412749,0.000412749,0.000412749
78,2003.75,1.31021,0.92223,1.07513,0.56783,0.62172,0.58069,0.3086,1.6815,1.3792,1.32387,0.000396246,0.000396246,0.000396246
79,2022.41,1.30139,0.91614,1.06843,0.58271,0.61496,0.5842,0.30963,1.68905,1.38749,1.32655,0.000379743,0.000379743,0.000379743
80,2041.28,1.2963,0.90816,1.06805,0.58305,0.61155,0.58022,0.30732,1.68439,1.35764,1.3281,0.000363239,0.000363239,0.000363239
81,2060.09,1.2845,0.89803,1.06439,0.58709,0.59898,0.58042,0.31038,1.6806,1.36738,1.33051,0.000346736,0.000346736,0.000346736
82,2079.01,1.28192,0.89348,1.06426,0.58267,0.63539,0.58948,0.31574,1.67063,1.34123,1.32562,0.000330233,0.000330233,0.000330233
83,2097.9,1.28016,0.89641,1.06466,0.56903,0.6252,0.58618,0.31103,1.69469,1.36148,1.33255,0.000313729,0.000313729,0.000313729
84,2116.82,1.28163,0.89006,1.06531,0.56742,0.62089,0.58033,0.31087,1.67936,1.35403,1.3251,0.000297226,0.000297226,0.000297226
85,2135.7,1.28076,0.88825,1.06182,0.58603,0.61374,0.58453,0.3122,1.68732,1.34988,1.32754,0.000280723,0.000280723,0.000280723
86,2154.7,1.26892,0.88643,1.06212,0.5868,0.6202,0.59076,0.31713,1.68809,1.34068,1.33199,0.00026422,0.00026422,0.00026422
87,2173.62,1.26944,0.88061,1.05889,0.59499,0.60234,0.58041,0.30671,1.6984,1.36543,1.33715,0.000247716,0.000247716,0.000247716
88,2192.44,1.265,0.87728,1.05378,0.58585,0.60216,0.57313,0.30629,1.69395,1.38233,1.33265,0.000231213,0.000231213,0.000231213
89,2211.64,1.25774,0.86696,1.04927,0.59258,0.60321,0.58144,0.31083,1.68873,1.36034,1.33025,0.00021471,0.00021471,0.00021471
90,2230.71,1.25477,0.86692,1.05462,0.60027,0.58965,0.58154,0.30933,1.69214,1.37307,1.32935,0.000198206,0.000198206,0.000198206
91,2268.37,1.22525,0.83535,1.06123,0.57108,0.60321,0.55779,0.29849,1.69499,1.37995,1.34216,0.000181703,0.000181703,0.000181703
92,2286.35,1.19256,0.80457,1.04758,0.5522,0.62235,0.56012,0.29858,1.70389,1.37959,1.34749,0.0001652,0.0001652,0.0001652
93,2304.17,1.19001,0.79289,1.04761,0.58719,0.5934,0.56609,0.30348,1.71203,1.38906,1.35974,0.000148696,0.000148696,0.000148696
94,2322.14,1.18648,0.79432,1.0448,0.58805,0.59181,0.56553,0.30346,1.7062,1.37708,1.35589,0.000132193,0.000132193,0.000132193
95,2340.13,1.17469,0.78578,1.04141,0.6013,0.59157,0.56844,0.30252,1.70445,1.39858,1.35292,0.00011569,0.00011569,0.00011569
96,2358.18,1.17712,0.78269,1.0413,0.57395,0.6099,0.56642,0.30078,1.70924,1.40755,1.35684,9.91865e-05,9.91865e-05,9.91865e-05
97,2376.29,1.16829,0.77625,1.03976,0.59049,0.58718,0.56666,0.29973,1.70559,1.39286,1.35527,8.26832e-05,8.26832e-05,8.26832e-05
98,2394.46,1.16102,0.7673,1.03163,0.61075,0.56326,0.56349,0.299,1.71212,1.41626,1.36094,6.61799e-05,6.61799e-05,6.61799e-05
99,2412.46,1.16269,0.7654,1.03438,0.59615,0.57818,0.56621,0.30202,1.70361,1.40034,1.3571,4.96766e-05,4.96766e-05,4.96766e-05
100,2430.55,1.14655,0.76232,1.03095,0.57855,0.60417,0.56664,0.30222,1.70585,1.39875,1.35953,3.31733e-05,3.31733e-05,3.31733e-05
