epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2737,2.05408,2.38031,1.4621,0.56606,0.25991,0.3862,0.18137,1.83505,2.17867,1.38825,0.000549493,0.000549493,0.000549493
2,40.243,1.87004,1.74612,1.34969,0.42069,0.41424,0.36111,0.16034,1.87045,1.89412,1.38465,0.00109422,0.00109422,0.00109422
3,59.0286,1.83994,1.66095,1.33656,0.44104,0.52137,0.43253,0.20228,1.77754,1.73881,1.38884,0.00162794,0.00162794,0.00162794
4,77.8458,1.81655,1.60672,1.32017,0.46362,0.54194,0.48452,0.237,1.74197,1.58311,1.3549,0.00161749,0.00161749,0.00161749
5,96.6698,1.78353,1.56001,1.31626,0.46786,0.56485,0.49815,0.25068,1.70774,1.5201,1.33139,0.00160099,0.00160099,0.00160099
6,119.02,1.75107,1.53386,1.29671,0.47231,0.55067,0.48975,0.24335,1.7496,1.57264,1.35292,0.00158448,0.00158448,0.00158448
7,139.363,1.74872,1.49884,1.29136,0.4943,0.56424,0.49227,0.24426,1.70966,1.49953,1.30943,0.00156798,0.00156798,0.00156798
8,158.9,1.72703,1.47719,1.28629,0.52613,0.56953,0.52803,0.26455,1.69076,1.51015,1.33355,0.00155148,0.00155148,0.00155148
9,177.792,1.71121,1.45415,1.27377,0.49394,0.5805,0.51232,0.26322,1.67606,1.45498,1.31285,0.00153497,0.00153497,0.00153497
10,196.757,1.70089,1.43689,1.26436,0.52554,0.58432,0.54455,0.27455,1.71089,1.43882,1.35371,0.00151847,0.00151847,0.00151847
11,215.682,1.69016,1.41785,1.25953,0.52822,0.59276,0.54807,0.2786,1.66004,1.42039,1.30805,0.00150197,0.00150197,0.00150197
12,235.113,1.69017,1.39801,1.2535,0.53609,0.61154,0.56572,0.2888,1.65153,1.40354,1.28888,0.00148546,0.00148546,0.00148546
13,254.223,1.667,1.391,1.254,0.50111,0.61728,0.54716,0.27914,1.70016,1.42034,1.33559,0.00146896,0.00146896,0.00146896
14,272.995,1.66394,1.39244,1.24983,0.53798,0.57669,0.55459,0.29032,1.69368,1.43661,1.31707,0.00145246,0.00145246,0.00145246
15,292.085,1.64951,1.36221,1.24182,0.50921,0.59019,0.54821,0.27802,1.64352,1.42166,1.3025,0.00143595,0.00143595,0.00143595
16,311.003,1.64473,1.36503,1.24252,0.52427,0.59942,0.56094,0.29707,1.65175,1.38458,1.31173,0.00141945,0.00141945,0.00141945
17,329.958,1.64265,1.34585,1.23672,0.55832,0.61698,0.59529,0.31243,1.62504,1.3415,1.2768,0.00140295,0.00140295,0.00140295
18,348.731,1.63633,1.33868,1.23192,0.56841,0.62711,0.59615,0.30758,1.66402,1.3424,1.29646,0.00138644,0.00138644,0.00138644
19,367.63,1.62798,1.34653,1.23546,0.52932,0.62467,0.5705,0.30154,1.61522,1.35633,1.28211,0.00136994,0.00136994,0.00136994
20,386.736,1.60341,1.29811,1.21754,0.57217,0.59445,0.58815,0.30547,1.61868,1.36801,1.29809,0.00135344,0.00135344,0.00135344
21,405.606,1.60848,1.30676,1.21495,0.53765,0.60698,0.56114,0.29041,1.6755,1.37486,1.29914,0.00133693,0.00133693,0.00133693
22,424.441,1.58742,1.28754,1.20818,0.52703,0.64545,0.59088,0.3116,1.61201,1.3301,1.27552,0.00132043,0.00132043,0.00132043
23,443.346,1.57565,1.27905,1.20879,0.55193,0.60521,0.57841,0.30179,1.64875,1.35926,1.29595,0.00130393,0.00130393,0.00130393
24,462.336,1.57154,1.27592,1.2056,0.55546,0.6024,0.57585,0.30047,1.65936,1.38059,1.29205,0.00128742,0.00128742,0.00128742
25,481.373,1.57608,1.25509,1.2007,0.53186,0.61763,0.56856,0.30217,1.61285,1.3512,1.274,0.00127092,0.00127092,0.00127092
26,500.315,1.56943,1.25544,1.19872,0.55255,0.58647,0.5696,0.30254,1.65006,1.36212,1.30355,0.00125442,0.00125442,0.00125442
27,519.326,1.5564,1.25402,1.19712,0.56773,0.58341,0.57604,0.29865,1.6481,1.39934,1.30087,0.00123791,0.00123791,0.00123791
28,538.26,1.55259,1.23379,1.19192,0.55803,0.60346,0.58082,0.31414,1.63656,1.33543,1.30088,0.00122141,0.00122141,0.00122141
