epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2875.54,1.35194,0.96371,1.10915,0.54501,0.64506,0.60249,0.32113,1.64708,1.28003,1.32142,0.000990365,0.000990365,0.000990365
43,2916.95,1.32538,0.93317,1.09891,0.57486,0.65343,0.61304,0.34154,1.61899,1.27621,1.31278,0.000973861,0.000973861,0.000973861
44,2966.08,1.31421,0.91885,1.09555,0.58906,0.65244,0.62019,0.3391,1.59815,1.24924,1.30212,0.000957358,0.000957358,0.000957358
45,3027.97,1.30954,0.91856,1.08863,0.56211,0.65548,0.60318,0.32307,1.64179,1.27286,1.33501,0.000940855,0.000940855,0.000940855
46,3075.86,1.29952,0.9055,1.08891,0.56168,0.6492,0.60816,0.33174,1.64206,1.30094,1.33104,0.000924352,0.000924352,0.000924352
47,3130.23,1.29607,0.89697,1.08376,0.5819,0.6215,0.61091,0.33661,1.59234,1.27597,1.3171,0.000907848,0.000907848,0.000907848
48,3200.29,1.27612,0.88819,1.07793,0.59652,0.64162,0.61935,0.3408,1.60537,1.22932,1.30867,0.000891345,0.000891345,0.000891345
49,3252.04,1.28358,0.88607,1.07937,0.56947,0.66264,0.61121,0.32894,1.63328,1.27917,1.32788,0.000874842,0.000874842,0.000874842
50,3304.91,1.26769,0.87136,1.07016,0.57927,0.63821,0.6044,0.32846,1.63903,1.28948,1.34598,0.000858338,0.000858338,0.000858338
51,3367.32,1.27215,0.87014,1.07611,0.58516,0.64766,0.61465,0.33816,1.61775,1.25525,1.32544,0.000841835,0.000841835,0.000841835
52,3420.36,1.25188,0.84602,1.06211,0.58048,0.65204,0.61292,0.33359,1.64848,1.3057,1.34265,0.000825332,0.000825332,0.000825332
53,3467.22,1.23364,0.83685,1.05802,0.58338,0.6331,0.61059,0.33715,1.61364,1.28055,1.32193,0.000808828,0.000808828,0.000808828
54,3523.69,1.24785,0.83711,1.05964,0.57991,0.62541,0.59818,0.32036,1.6569,1.32516,1.35691,0.000792325,0.000792325,0.000792325
55,3599.06,1.213,0.82012,1.04727,0.57957,0.63543,0.6041,0.32867,1.66138,1.31938,1.35058,0.000775822,0.000775822,0.000775822
56,4049.94,1.21565,0.81235,1.04713,0.58159,0.62383,0.60028,0.32305,1.66289,1.30005,1.35358,0.000759318,0.000759318,0.000759318
57,4116.46,1.21486,0.81242,1.0474,0.57902,0.65119,0.60167,0.32528,1.65425,1.31019,1.35041,0.000742815,0.000742815,0.000742815
58,4189.37,1.19887,0.79887,1.04084,0.59703,0.60434,0.59632,0.32615,1.66645,1.34384,1.35726,0.000726312,0.000726312,0.000726312
59,4276.78,1.1931,0.79103,1.04027,0.58403,0.64706,0.60075,0.32368,1.66594,1.35108,1.36587,0.000709809,0.000709809,0.000709809
60,4373.5,1.19023,0.78623,1.03508,0.56784,0.62738,0.59195,0.31966,1.67788,1.32697,1.37558,0.000693305,0.000693305,0.000693305
61,4441.12,1.16955,0.77641,1.03258,0.5772,0.63743,0.59294,0.32199,1.67869,1.33504,1.36672,0.000676802,0.000676802,0.000676802
62,4523.18,1.18262,0.77762,1.03343,0.6019,0.60012,0.58772,0.31979,1.6561,1.3445,1.36356,0.000660299,0.000660299,0.000660299
63,4608.57,1.16183,0.75932,1.02643,0.60051,0.62323,0.59806,0.32511,1.6706,1.34374,1.36038,0.000643795,0.000643795,0.000643795
64,4693.7,1.15307,0.75582,1.02354,0.58602,0.62497,0.59133,0.31993,1.68807,1.38719,1.37748,0.000627292,0.000627292,0.000627292
65,4781.47,1.15873,0.75793,1.02403,0.61029,0.58899,0.59133,0.32007,1.7028,1.38403,1.39228,0.000610789,0.000610789,0.000610789
66,4889.92,1.13817,0.73878,1.01443,0.59826,0.62561,0.60363,0.32494,1.68951,1.34777,1.38114,0.000594286,0.000594286,0.000594286
67,4928.03,1.12848,0.73417,1.01427,0.60574,0.6207,0.606,0.32495,1.69519,1.37782,1.37946,0.000577782,0.000577782,0.000577782
68,5022.42,1.1264,0.73062,1.01148,0.59742,0.60989,0.59028,0.3154,1.70287,1.41097,1.38474,0.000561279,0.000561279,0.000561279
69,5104.79,1.10921,0.7207,1.0059,0.57562,0.6333,0.59164,0.3217,1.6959,1.39098,1.387,0.000544776,0.000544776,0.000544776
70,5153.33,1.09819,0.70773,0.99846,0.58566,0.63008,0.59687,0.32027,1.68915,1.35025,1.38163,0.000528272,0.000528272,0.000528272
71,5199.77,1.11805,0.7228,1.0063,0.59524,0.59665,0.58958,0.3175,1.68904,1.37562,1.38258,0.000511769,0.000511769,0.000511769
72,5266.79,1.10035,0.70535,1.0038,0.59157,0.58436,0.57821,0.31432,1.69188,1.42653,1.37872,0.000495266,0.000495266,0.000495266
73,5353.49,1.09849,0.70291,1.00038,0.60418,0.61432,0.59433,0.32185,1.67024,1.36715,1.3743,0.000478762,0.000478762,0.000478762
74,5395.17,1.07494,0.68621,0.99024,0.62279,0.57297,0.58207,0.31398,1.70947,1.42692,1.39394,0.000462259,0.000462259,0.000462259
75,5439.2,1.06696,0.68808,0.99331,0.57553,0.6278,0.57731,0.31229,1.69408,1.41459,1.38963,0.000445756,0.000445756,0.000445756
76,5477.43,1.06626,0.67791,0.98692,0.59685,0.60518,0.58521,0.31865,1.69773,1.39626,1.39424,0.000429253,0.000429253,0.000429253
77,5578.9,1.05293,0.66614,0.98191,0.60313,0.5935,0.58267,0.31506,1.69272,1.40701,1.39275,0.000412749,0.000412749,0.000412749
78,5617.21,1.05414,0.66878,0.98464,0.6019,0.61306,0.58883,0.32536,1.67053,1.38238,1.38411,0.000396246,0.000396246,0.000396246
79,5701.07,1.05032,0.66673,0.97937,0.59543,0.605,0.58701,0.32238,1.67603,1.38068,1.38541,0.000379743,0.000379743,0.000379743
80,5812.17,1.03626,0.65622,0.97883,0.59797,0.60016,0.58164,0.31646,1.70492,1.40594,1.40057,0.000363239,0.000363239,0.000363239
81,5859.82,1.02733,0.64767,0.97437,0.59035,0.60277,0.58378,0.3176,1.70338,1.42734,1.40623,0.000346736,0.000346736,0.000346736
82,5936.72,1.02399,0.64682,0.97559,0.57979,0.62192,0.5865,0.31656,1.68681,1.43514,1.38581,0.000330233,0.000330233,0.000330233
83,6004.72,1.01799,0.64569,0.97503,0.59224,0.5846,0.57978,0.30944,1.7234,1.49225,1.41203,0.000313729,0.000313729,0.000313729
84,6069.05,1.02118,0.6417,0.97536,0.58849,0.60162,0.57542,0.30869,1.69753,1.4496,1.39465,0.000297226,0.000297226,0.000297226
85,6131.87,1.01918,0.64088,0.97208,0.57296,0.62194,0.57712,0.31359,1.70984,1.45182,1.40381,0.000280723,0.000280723,0.000280723
86,6190.78,1.00312,0.63012,0.97023,0.5913,0.61029,0.58111,0.31331,1.69854,1.41589,1.40894,0.00026422,0.00026422,0.00026422
87,6258.46,1.00336,0.62526,0.96582,0.57355,0.62435,0.58284,0.3129,1.70744,1.46038,1.40658,0.000247716,0.000247716,0.000247716
88,6304,0.99064,0.62134,0.96102,0.57944,0.61352,0.58011,0.30979,1.72082,1.46555,1.40792,0.000231213,0.000231213,0.000231213
89,6511.72,0.9856,0.61885,0.95876,0.62128,0.56786,0.58166,0.30997,1.72323,1.478,1.42362,0.00021471,0.00021471,0.00021471
90,6572.63,0.9803,0.6155,0.96148,0.59046,0.59296,0.57495,0.30875,1.72139,1.50093,1.41057,0.000198206,0.000198206,0.000198206
91,6633.22,0.94125,0.57704,0.95975,0.57054,0.63054,0.57311,0.30818,1.7325,1.44495,1.44159,0.000181703,0.000181703,0.000181703
92,6675.48,0.90913,0.54982,0.949,0.57789,0.60781,0.57247,0.30751,1.74824,1.47175,1.45697,0.0001652,0.0001652,0.0001652
93,6727.03,0.90368,0.54585,0.94933,0.60255,0.58596,0.57599,0.30803,1.74346,1.5091,1.44624,0.000148696,0.000148696,0.000148696
94,6763.74,0.89746,0.54241,0.94578,0.57743,0.61699,0.57802,0.30962,1.74165,1.49141,1.44455,0.000132193,0.000132193,0.000132193
95,6821.19,0.89086,0.53657,0.94281,0.57607,0.61659,0.57553,0.30942,1.73478,1.48496,1.44432,0.00011569,0.00011569,0.00011569
96,6863.17,0.89019,0.53226,0.94181,0.5943,0.59143,0.57581,0.31114,1.74353,1.51462,1.44596,9.91865e-05,9.91865e-05,9.91865e-05
97,6927.69,0.87826,0.52709,0.93957,0.59958,0.59098,0.57072,0.30884,1.73999,1.50595,1.44504,8.26832e-05,8.26832e-05,8.26832e-05
98,6973.24,0.87197,0.524,0.93564,0.59119,0.59652,0.57085,0.30882,1.74669,1.52562,1.45363,6.61799e-05,6.61799e-05,6.61799e-05
99,7022.89,0.86468,0.52041,0.93441,0.58987,0.58484,0.56733,0.30655,1.74615,1.542,1.45592,4.96766e-05,4.96766e-05,4.96766e-05
100,7059.5,0.84977,0.51022,0.9312,0.57602,0.59917,0.57073,0.30903,1.74517,1.54353,1.45322,3.31733e-05,3.31733e-05,3.31733e-05
