epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5531,1.94491,2.0572,1.43241,0.43779,0.55712,0.46916,0.23041,1.78075,1.62412,1.39259,0.000549493,0.000549493,0.000549493
2,138.933,1.80591,1.56894,1.34711,0.45563,0.51646,0.45384,0.21621,1.80714,1.64719,1.40949,0.00109422,0.00109422,0.00109422
3,215.689,1.79253,1.51159,1.3438,0.47076,0.53298,0.45917,0.22088,1.79046,1.58886,1.41144,0.00162794,0.00162794,0.00162794
4,270.087,1.765,1.48658,1.32437,0.52069,0.55713,0.53113,0.26666,1.70452,1.49744,1.36407,0.00161749,0.00161749,0.00161749
5,359.838,1.72763,1.44034,1.30798,0.49036,0.57232,0.51957,0.25789,1.73991,1.45583,1.39788,0.00160099,0.00160099,0.00160099
6,464.281,1.71141,1.4228,1.30238,0.51321,0.5706,0.52585,0.27046,1.68432,1.44162,1.35427,0.00158448,0.00158448,0.00158448
7,579.317,1.69252,1.39062,1.28824,0.52783,0.57925,0.55017,0.28255,1.67645,1.44995,1.35288,0.00156798,0.00156798,0.00156798
8,659.665,1.65857,1.36756,1.27697,0.54977,0.58045,0.56091,0.27955,1.66416,1.41107,1.34299,0.00155148,0.00155148,0.00155148
9,748.915,1.65117,1.34615,1.26653,0.5225,0.61828,0.57485,0.2993,1.65841,1.35762,1.33275,0.00153497,0.00153497,0.00153497
10,832.139,1.63559,1.33123,1.25216,0.51507,0.62948,0.56935,0.30129,1.63402,1.33081,1.32813,0.00151847,0.00151847,0.00151847
11,989.192,1.62062,1.30981,1.24529,0.50548,0.63813,0.56279,0.29492,1.6339,1.3456,1.29891,0.00150197,0.00150197,0.00150197
12,1080.85,1.62286,1.29809,1.24403,0.56043,0.6218,0.59595,0.31341,1.61814,1.31094,1.30272,0.00148546,0.00148546,0.00148546
13,1176.79,1.59954,1.28229,1.2364,0.52399,0.63421,0.57125,0.29343,1.66964,1.33858,1.32385,0.00146896,0.00146896,0.00146896
14,1271.37,1.58808,1.27777,1.23093,0.54633,0.62923,0.60391,0.31429,1.62177,1.31564,1.30654,0.00145246,0.00145246,0.00145246
15,1368.02,1.571,1.24767,1.2268,0.544,0.64562,0.61412,0.32654,1.60291,1.29358,1.30883,0.00143595,0.00143595,0.00143595
16,1435.36,1.56736,1.25155,1.22228,0.54697,0.62941,0.59217,0.31231,1.65574,1.3134,1.32585,0.00141945,0.00141945,0.00141945
17,1495.74,1.56225,1.22465,1.21833,0.56765,0.64647,0.61026,0.33042,1.60459,1.26088,1.29774,0.00140295,0.00140295,0.00140295
18,1556.86,1.5487,1.21268,1.21249,0.57273,0.61704,0.59891,0.31998,1.608,1.28186,1.29796,0.00138644,0.00138644,0.00138644
19,1652.55,1.54256,1.21686,1.2116,0.56618,0.5908,0.5884,0.3148,1.58291,1.32478,1.28784,0.00136994,0.00136994,0.00136994
20,1766.68,1.51559,1.17497,1.19261,0.55397,0.63854,0.60732,0.3231,1.59558,1.29372,1.27884,0.00135344,0.00135344,0.00135344
21,1868.42,1.52139,1.17836,1.19377,0.55953,0.64361,0.59924,0.3291,1.57151,1.24785,1.29012,0.00133693,0.00133693,0.00133693
22,1950.42,1.49861,1.1618,1.18866,0.56555,0.64809,0.6199,0.33429,1.60086,1.25212,1.29345,0.00132043,0.00132043,0.00132043
23,2046.77,1.48278,1.14648,1.1789,0.60206,0.59227,0.61318,0.32779,1.61545,1.30282,1.29427,0.00130393,0.00130393,0.00130393
24,2189.56,1.47692,1.13767,1.17877,0.55696,0.64565,0.59983,0.32604,1.59778,1.28463,1.29955,0.00128742,0.00128742,0.00128742
25,2281.75,1.47409,1.11857,1.16858,0.59275,0.60378,0.60972,0.33284,1.57077,1.25595,1.26928,0.00127092,0.00127092,0.00127092
